,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",5727318,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4405994,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"MIA (feat. Drake)","Bad Bunny",3263291,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
4,Happier,Marshmello,2863358,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"Without Me",Halsey,2751568,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2680560,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
7,"SICKO MODE","Travis Scott",2641975,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2502123,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
9,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,2492137,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
10,"Bohemian Rhapsody - Remastered 2011",Queen,2490397,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
11,Shallow,"Lady Gaga",2473391,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
12,BAD!,XXXTENTACION,2239704,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
13,"Mo Bamba","Sheck Wes",2199814,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
14,"when the party's over","Billie Eilish",2138674,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
15,Better,Khalid,1959970,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
16,"Sweet but Psycho","Ava Max",1875971,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
17,"Lucid Dreams","Juice WRLD",1859731,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
18,"Girls Like You (feat. Cardi B)","Maroon 5",1795870,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
19,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1781804,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
20,"Eastside (with Halsey & Khalid)","benny blanco",1744196,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
21,"In My Mind",Dynoro,1692890,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
22,"Adan y Eva","Paulo Londra",1692529,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
23,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1680385,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
24,SAD!,XXXTENTACION,1674027,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Falling Down - Bonus Track","Lil Peep",1626181,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
26,"Be Alright","Dean Lewis",1594796,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
27,"Ruin My Life","Zara Larsson",1557884,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
28,"Bad Liar","Imagine Dragons",1556349,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
29,"Promises (with Sam Smith)","Calvin Harris",1552562,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
30,"Kiss and Make Up","Dua Lipa",1547264,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
31,"Better Now","Post Malone",1534460,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
32,"Vaina Loca",Ozuna,1533448,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
33,Moonlight,XXXTENTACION,1531216,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
34,"Another One Bites The Dust - Remastered 2011",Queen,1504282,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
